HABITAT ID,HABITAT NAME,DAY,AVAILABLE LLAMAS
0,Peachtree,7/1/2017 8:00,74
0,Peachtree,7/2/2017 8:00,65
0,Peachtree,7/3/2017 8:00,80
0,Peachtree,7/4/2017 8:00,78
0,Peachtree,7/5/2017 8:00,78
0,Peachtree,7/6/2017 8:00,80
0,Peachtree,7/7/2017 8:00,80
0,Peachtree,7/8/2017 8:00,77
0,Peachtree,7/9/2017 8:00,76
0,Peachtree,7/10/2017 8:00,66
0,Peachtree,7/11/2017 8:00,78
0,Peachtree,7/12/2017 8:00,58
0,Peachtree,7/13/2017 8:00,80
0,Peachtree,7/14/2017 8:00,85
0,Peachtree,7/15/2017 8:00,78
0,Peachtree,7/16/2017 8:00,74
0,Peachtree,7/17/2017 8:00,86
0,Peachtree,7/18/2017 8:00,86
0,Peachtree,7/19/2017 8:00,68
0,Peachtree,7/20/2017 8:00,82
0,Peachtree,7/21/2017 8:00,92
0,Peachtree,7/22/2017 8:00,78
0,Peachtree,7/23/2017 8:00,68
0,Peachtree,7/24/2017 8:00,70
0,Peachtree,7/25/2017 8:00,86
0,Peachtree,7/26/2017 8:00,77
0,Peachtree,7/27/2017 8:00,66
0,Peachtree,7/28/2017 8:00,74
0,Peachtree,7/29/2017 8:00,80
0,Peachtree,7/30/2017 8:00,72
0,Peachtree,7/31/2017 8:00,74
0,Peachtree,8/1/2017 8:00,83
0,Peachtree,8/2/2017 8:00,93
0,Peachtree,8/3/2017 8:00,88
0,Peachtree,8/4/2017 8:00,92
0,Peachtree,8/5/2017 8:00,94
0,Peachtree,8/6/2017 8:00,96
0,Peachtree,8/7/2017 8:00,80
0,Peachtree,8/8/2017 8:00,77
0,Peachtree,8/9/2017 8:00,66
0,Peachtree,8/10/2017 8:00,73
0,Peachtree,8/11/2017 8:00,93
0,Peachtree,8/12/2017 8:00,88
0,Peachtree,8/13/2017 8:00,86
0,Peachtree,8/14/2017 8:00,78
0,Peachtree,8/15/2017 8:00,82
0,Peachtree,8/16/2017 8:00,79
0,Peachtree,8/17/2017 8:00,82
0,Peachtree,8/18/2017 8:00,85
0,Peachtree,8/19/2017 8:00,78
0,Peachtree,8/20/2017 8:00,82
0,Peachtree,8/21/2017 8:00,77
0,Peachtree,8/22/2017 8:00,72
0,Peachtree,8/23/2017 8:00,86
0,Peachtree,8/24/2017 8:00,70
0,Peachtree,8/25/2017 8:00,86
0,Peachtree,8/26/2017 8:00,76
0,Peachtree,8/27/2017 8:00,78
0,Peachtree,8/28/2017 8:00,72
0,Peachtree,8/29/2017 8:00,72
0,Peachtree,8/30/2017 8:00,83
0,Peachtree,8/31/2017 8:00,80
0,Peachtree,9/1/2017 8:00,100
0,Peachtree,9/2/2017 8:00,74
0,Peachtree,9/3/2017 8:00,78
0,Peachtree,9/4/2017 8:00,86
0,Peachtree,9/5/2017 8:00,86
0,Peachtree,9/6/2017 8:00,84
0,Peachtree,9/7/2017 8:00,84
0,Peachtree,9/8/2017 8:00,70
0,Peachtree,9/9/2017 8:00,80
0,Peachtree,9/10/2017 8:00,76
0,Peachtree,9/11/2017 8:00,74
0,Peachtree,9/12/2017 8:00,72
0,Peachtree,9/13/2017 8:00,70
0,Peachtree,9/14/2017 8:00,61
0,Peachtree,9/15/2017 8:00,68
0,Peachtree,9/16/2017 8:00,78
0,Peachtree,9/17/2017 8:00,74
0,Peachtree,9/18/2017 8:00,78
0,Peachtree,9/19/2017 8:00,87
0,Peachtree,9/20/2017 8:00,92
0,Peachtree,9/21/2017 8:00,84
0,Peachtree,9/22/2017 8:00,76
0,Peachtree,9/23/2017 8:00,76
0,Peachtree,9/24/2017 8:00,70
0,Peachtree,9/25/2017 8:00,70
0,Peachtree,9/26/2017 8:00,76
0,Peachtree,9/27/2017 8:00,84
0,Peachtree,9/28/2017 8:00,83
0,Peachtree,9/29/2017 8:00,100
0,Peachtree,9/30/2017 8:00,91
0,Peachtree,10/1/2017 8:00,74
0,Peachtree,10/2/2017 8:00,83
0,Peachtree,10/3/2017 8:00,80
0,Peachtree,10/4/2017 8:00,86
0,Peachtree,10/5/2017 8:00,85
0,Peachtree,10/6/2017 8:00,79
0,Peachtree,10/7/2017 8:00,72
0,Peachtree,10/8/2017 8:00,74
0,Peachtree,10/9/2017 8:00,68
0,Peachtree,10/10/2017 8:00,86
0,Peachtree,10/11/2017 8:00,63
0,Peachtree,10/12/2017 8:00,76
0,Peachtree,10/13/2017 8:00,86
0,Peachtree,10/14/2017 8:00,92
0,Peachtree,10/15/2017 8:00,90
0,Peachtree,10/16/2017 8:00,80
0,Peachtree,10/17/2017 8:00,86
0,Peachtree,10/18/2017 8:00,84
0,Peachtree,10/19/2017 8:00,93
0,Peachtree,10/20/2017 8:00,88
0,Peachtree,10/21/2017 8:00,88
0,Peachtree,10/22/2017 8:00,92
0,Peachtree,10/23/2017 8:00,92
0,Peachtree,10/24/2017 8:00,86
